Date,Open,High,Low,Close,Adj Close,Volume
2024-01-09,2.870000,2.900000,2.800000,2.860000,2.845700,145400
2024-01-10,2.850000,2.870000,2.760000,2.820000,2.805900,302300
2024-01-11,2.800000,2.820000,2.690000,2.770000,2.756150,197400
2024-01-12,2.800000,2.820000,2.760000,2.780000,2.766100,77800
2024-01-15,2.790000,2.850000,2.720000,2.840000,2.825800,49400
2024-01-16,2.810000,2.835000,2.750000,2.820000,2.805900,132800
2024-01-17,2.800000,2.855000,2.750000,2.850000,2.835750,99800
2024-01-18,2.720000,2.840000,2.720000,2.810000,2.795950,184900
2024-01-19,2.810000,2.855000,2.800000,2.840000,2.825800,91000
2024-01-22,2.880000,2.880000,2.805000,2.840000,2.825800,108200
2024-01-23,2.870000,2.900000,2.820000,2.820000,2.805900,213800
2024-01-24,2.800000,2.850000,2.760000,2.790000,2.776050,242900
2024-01-25,2.840000,2.850000,2.800000,2.830000,2.815850,81100
2024-01-26,2.830000,2.860000,2.755000,2.810000,2.795950,133300
2024-01-29,2.850000,2.850000,2.790000,2.800000,2.786000,183500
2024-01-30,2.760000,2.810000,2.730000,2.740000,2.726300,222800
2024-01-31,2.780000,2.805000,2.705000,2.750000,2.736250,282900
2024-02-01,2.800000,2.800000,2.670000,2.680000,2.666600,227900
2024-02-02,2.710000,2.710000,2.660000,2.690000,2.676550,74700
2024-02-05,2.710000,2.710000,2.635000,2.710000,2.696450,194300
2024-02-06,2.720000,2.795000,2.700000,2.750000,2.736250,120400
2024-02-07,2.700000,2.780000,2.700000,2.720000,2.706400,52500
2024-02-08,2.740000,2.750000,2.695000,2.720000,2.706400,229800
2024-02-09,2.720000,2.735000,2.690000,2.700000,2.686500,56200
2024-02-12,2.790000,2.790000,2.710000,2.750000,2.736250,96300
2024-02-13,2.690000,2.740000,2.670000,2.690000,2.676550,66400
2024-02-14,2.700000,2.710000,2.660000,2.700000,2.686500,54600
2024-02-15,2.710000,2.760000,2.710000,2.740000,2.726300,279600
2024-02-16,2.690000,2.780000,2.680000,2.730000,2.716350,158200
2024-02-20,2.660000,2.760000,2.600000,2.650000,2.636750,161800
2024-02-21,2.620000,2.690000,2.610000,2.620000,2.606900,103200
2024-02-22,2.600000,2.740000,2.600000,2.700000,2.686500,236000
2024-02-23,2.700000,2.730000,2.605000,2.610000,2.596950,165400
2024-02-26,2.610000,2.780000,2.600000,2.780000,2.766100,217300
2024-02-27,2.700000,2.810000,2.640000,2.790000,2.776050,189000
2024-02-28,2.760000,2.850000,2.740000,2.780000,2.766100,255500
2024-02-29,2.780000,2.790000,2.705000,2.790000,2.776050,283800
2024-03-01,2.780000,2.820000,2.710000,2.730000,2.716350,313500
2024-03-04,2.680000,2.700000,2.560000,2.580000,2.567100,282100
2024-03-05,2.560000,2.570000,2.490000,2.540000,2.527300,282700
2024-03-06,2.510000,2.520000,2.400000,2.480000,2.467600,259200
2024-03-07,2.480000,2.480000,2.375000,2.440000,2.427800,234900
2024-03-08,2.400000,2.515000,2.360000,2.510000,2.497450,407800
2024-03-11,2.510000,2.510000,2.410000,2.500000,2.487500,234000
2024-03-12,2.500000,2.530000,2.490000,2.510000,2.497450,235200
2024-03-13,2.490000,2.550000,2.470000,2.510000,2.497450,197800
2024-03-14,2.520000,2.520000,2.400000,2.450000,2.437750,203300
2024-03-15,2.460000,2.480000,2.365000,2.400000,2.388000,925900
2024-03-18,2.380000,2.405000,2.300000,2.400000,2.388000,274300
2024-03-19,2.380000,2.410000,2.360000,2.360000,2.348200,122500
2024-03-20,2.350000,2.430000,2.350000,2.420000,2.407900,68500
2024-03-21,2.480000,2.480000,2.390000,2.420000,2.407900,197200
2024-03-22,1.970000,2.005000,1.670000,1.800000,1.791000,2140000
2024-03-25,1.840000,1.840000,1.600000,1.800000,1.791000,1523500
