Open,Close,High,Low,Volume,Date
100.83,99.36,101.05,99.31,28,287.00,03/22/24
100.4,100.86,101.5,100.32,42,843.00,03/21/24
98.66,100.4,100.46,98.27,28,560.00,03/20/24
99.27,98.81,99.46,98.77,34,382.00,03/19/24
99.37,99.25,99.55,98.56,34,859.00,03/18/24
99.58,99.37,99.93,98.77,53,377.00,03/15/24
100.61,99.75,101.17,99.19,56,094.00,03/14/24
100.7,101.09,101.44,100.65,40,526.00,03/13/24
99.99,100.62,100.78,99.36,61,919.00,03/12/24
98.95,100.02,100.12,98.73,36,113.00,03/11/24
99.62,99.34,99.81,99.02,27,543.00,03/08/24
98.77,99.39,99.4,98.63,37,750.00,03/07/24
98.51,98.24,99.13,97.9,39,614.00,03/06/24
96.99,97.96,98.25,96.99,40,316.00,03/05/24
97.11,97.2,97.67,96.75,38,592.00,03/04/24
97,97.34,97.94,96.6,44,887.00,03/01/24
96.83,97.05,97.21,96.1,63,234.00,02/29/24
97.17,96.4,98.17,96.39,53,988.00,02/28/24
97.59,96.9,97.8,96.46,74,642.00,02/27/24
98.48,97.98,99.05,97.79,32,953.00,02/26/24
