Issuer,Currency,Coupon,Yield,Moody's Rating,Maturity Date,Bid,Ask,ISIN,Issue Price,Issue Date
"Canada, Government of...",CAD,2.5000%,5.03%,Aaa,6/1/2024,98.53,99.04,CA135087B451,98.99,7/2/2013
"Canada, Government of...",CAD,2.2500%,4.21%,Aaa,6/1/2025,97.35,97.48,CA135087D507,98.85,6/30/2014
"Canada, Government of...",CAD,1.5000%,3.73%,Aaa,6/1/2026,94.90,95.19,CA135087E679,97.86,7/21/2015
"Canada, Government of...",CAD,2.2500%,4.92%,Aaa,3/1/2024,99.11,99.67,CA135087J546,98.99,10/5/2018
"Canada, Government of...",CAD,1.5000%,4.78%,Aaa,9/1/2024,97.45,98.03,CA135087J967,99.45,4/5/2019
"Canada, Government of...",CAD,1.2500%,4.50%,Aaa,3/1/2025,96.45,96.46,CA135087K528,99.62,10/11/2019
"Canada, Government of...",CAD,0.5000%,4.13%,Aaa,9/1/2025,94.31,94.43,CA135087K940,99.63,4/3/2020
"Canada, Government of...",CAD,0.2500%,3.78%,Aaa,3/1/2026,92.83,92.84,CA135087L518,99.03,10/9/2020
"Canada, Government of...",CAD,0.2500%,4.83%,Aaa,4/1/2024,98.48,98.99,CA135087L690,99.86,10/16/2020
"Canada, Government of...",CAD,1.0000%,3.64%,Aaa,9/1/2026,93.40,93.53,CA135087L930,99.66,4/16/2021
"Canada, Government of...",CAD,0.7500%,4.72%,Aaa,10/1/2024,96.71,97.22,CA135087M508,99.97,7/12/2021
"Canada, Government of...",CAD,0.7500%,0.750%,Aaa,2/1/2024,99.18,100.30,CA135087M920,99.73,10/22/2021
"Canada, Government of...",CAD,1.5000%,4.47%,Aaa,4/1/2025,96.02,96.58,CA135087N340,99.74,1/24/2022
"Canada, Government of...",CAD,1.5000%,5.06%,Aaa,5/1/2024,98.42,98.93,CA135087N423,99.85,2/22/2022
"Canada, Government of...",CAD,2.7500%,4.94%,Aaa,8/1/2024,98.31,98.82,CA135087N910,99.99,5/24/2022
"Canada, Government of...",CAD,3.0000%,4.11%,Aaa,10/1/2025,98.15,98.27,CA135087P246,99.33,7/25/2022
"Canada, Government of...",CAD,3.0000%,4.76%,Aaa,11/1/2024,98.11,98.67,CA135087P402,99.63,8/15/2022
"Canada, Government of...",CAD,3.7500%,4.61%,Aaa,2/1/2025,98.63,99.14,CA135087P659,99.68,11/2/2022
"Canada, Government of...",CAD,3.0000%,3.83%,Aaa,4/1/2026,98.24,98.37,CA135087P816,99.47,1/20/2023
"Canada, Government of...",CAD,3.7500%,4.40%,Aaa,5/1/2025,99.16,99.29,CA135087Q319,99.74,2/10/2023
"Canada, Government of...",CAD,9.0000%,4.17%,Aaa,6/1/2025,106.28,106.44,CA135087VH40,98.21,8/2/1994
"Canada, Government of...",CAD,3.5000%,4.18%,Aaa,8/1/2025,98.96,99.07,CA135087Q640,99.66,5/12/2023
"Canada, Government of...",CAD,1.5000%,3.73%,Aaa,6/1/2026,94.90,95.19,CA135087E679,97.86,7/21/2015
"Canada, Government of...",CAD,1.5000%,5.06%,Aaa,5/1/2024,98.42,98.93,CA135087N423,99.85,2/22/2022
"Canada, Government of...",CAD,5.7500%,3.21%,Aaa,6/1/2029,112.30,112.42,CA135087WL43,99.81,2/2/1998
"Canada, Government of...",CAD,3.2450%,3.47%,,8/24/2027,99.16,99.30,CA135087P733,100.00,12/2/2022
"Canada, Government of...",CAD,4.0000%,3.27%,Aaa,3/1/2029,103.31,103.36,CA135087Q988,99.42,10/13/2023
"Canada, Government of...",CAD,8.0000%,3.43%,Aaa,6/1/2027,114.33,114.55,CA135087VW17,97.88,5/1/1996
"Canada, Government of...",CAD,3.2500%,3.31%,Aaa,9/1/2028,99.65,99.77,CA135087Q491,100.00,4/21/2023
"Canada, Government of...",CAD,2.2500%,3.21%,Aaa,6/1/2029,95.17,95.42,CA135087J397,99.95,7/27/2018
"Canada, Government of...",CAD,3.5000%,3.37%,Aaa,3/1/2028,100.41,100.48,CA135087P576,99.35,10/21/2022
"Canada, Government of...",CAD,0.5000%,3.22%,Aaa,12/1/2030,83.25,83.35,CA135087L443,98.96,10/5/2020
"Canada, Government of...",CAD,3.2500%,3.21%,Aaa,12/1/2033,100.21,100.26,CA135087Q723,97.97,6/26/2023
"Canada, Government of...",CAD,2.0000%,3.26%,Aaa,6/1/2032,90.76,91.16,CA135087N597,98.29,3/16/2022
"Canada, Government of...",CAD,2.0000%,3.30%,Aaa,6/1/2028,94.65,94.87,CA135087H235,99.27,8/1/2017
"Canada, Government of...",CAD,1.0000%,3.45%,Aaa,6/1/2027,92.19,92.42,CA135087F825,97.99,8/3/2016
"Canada, Government of...",CAD,2.5000%,3.22%,Aaa,12/1/2032,94.40,94.54,CA135087P329,97.96,8/8/2022
"Canada, Government of...",CAD,2.7500%,3.47%,Aaa,9/1/2027,97.50,97.61,CA135087N837,99.30,5/13/2022
"Canada, Government of...",CAD,1.5000%,3.24%,Aaa,12/1/2031,87.93,88.08,CA135087N266,97.91,10/25/2021
"Canada, Government of...",CAD,2.2500%,3.18%,Aaa,12/1/2029,94.92,95.07,CA135087N670,99.58,3/29/2022
"Canada, Government of...",CAD,1.5000%,3.24%,Aaa,6/1/2031,88.60,88.73,CA135087M276,98.85,4/26/2021
"Canada, Government of...",CAD,1.2500%,3.55%,Aaa,3/1/2027,93.22,93.24,CA135087M847,99.66,10/15/2021
"Canada, Government of...",CAD,5.7500%,3.24%,Aaa,6/1/2033,119.92,120.07,CA135087XG49,99.86,10/15/2001
