Issuer,Currency,Coupon,Yield,Moody's Rating,Maturity Date,Bid,Ask,ISIN,Issue Price,Issue Date
"Canada, Government of...",CAD,4.5000%,3.88%,Aaa,2/1/2026,101.21,101.33,CA135087R226,99.79,11/1/2023
"Canada, Government of...",CAD,2.2500%,4.90%,Aaa,3/1/2024,99.63,99.69,CA135087J546,98.99,10/5/2018
"Canada, Government of...",CAD,1.2500%,4.49%,Aaa,3/1/2025,96.51,96.52,CA135087K528,99.62,10/11/2019
"Canada, Government of...",CAD,0.5000%,4.11%,Aaa,9/1/2025,94.34,94.46,CA135087K940,99.63,4/3/2020
"Canada, Government of...",CAD,0.2500%,4.81%,Aaa,4/1/2024,99.01,99.02,CA135087L690,99.86,10/16/2020
"Canada, Government of...",CAD,3.0000%,4.77%,Aaa,11/1/2024,98.65,98.71,CA135087P402,99.63,8/15/2022
"Canada, Government of...",CAD,3.0000%,3.82%,Aaa,4/1/2026,98.28,98.41,CA135087P816,99.47,1/20/2023
"Canada, Government of...",CAD,3.5000%,4.18%,Aaa,8/1/2025,98.99,99.10,CA135087Q640,99.66,5/12/2023
"Canada, Government of...",CAD,1.5000%,4.46%,Aaa,4/1/2025,96.55,96.61,CA135087N340,99.74,1/24/2022
"Canada, Government of...",CAD,3.7500%,4.60%,Aaa,2/1/2025,99.15,99.16,CA135087P659,99.68,11/2/2022
"Canada, Government of...",CAD,0.7500%,-,Aaa,2/1/2024,99.20,99.82,CA135087M920,99.73,10/22/2021
"Canada, Government of...",CAD,1.5000%,5.06%,Aaa,5/1/2024,98.94,98.95,CA135087N423,99.85,2/22/2022
"Canada, Government of...",CAD,2.7500%,4.94%,Aaa,8/1/2024,98.84,98.85,CA135087N910,99.99,5/24/2022
"Canada, Government of...",CAD,1.5000%,3.72%,Aaa,6/1/2026,94.95,95.23,CA135087E679,97.86,7/21/2015
"Canada, Government of...",CAD,4.5000%,4.01%,Aaa,11/1/2025,100.83,100.84,CA135087Q806,99.67,8/4/2023
"Canada, Government of...",CAD,3.0000%,4.10%,Aaa,10/1/2025,98.17,98.30,CA135087P246,99.33,7/25/2022
"Canada, Government of...",CAD,9.0000%,4.24%,Aaa,6/1/2025,106.29,106.41,CA135087VH40,98.21,8/2/1994
"Canada, Government of...",CAD,0.2500%,3.79%,Aaa,3/1/2026,92.85,92.86,CA135087L518,99.03,10/9/2020
"Canada, Government of...",CAD,3.7500%,4.37%,Aaa,5/1/2025,99.18,99.30,CA135087Q319,99.74,2/10/2023
"Canada, Government of...",CAD,0.7500%,4.72%,Aaa,10/1/2024,97.24,97.25,CA135087M508,99.97,7/12/2021
"Canada, Government of...",CAD,3.5000%,4.18%,Aaa,8/1/2025,98.99,99.10,CA135087Q640,99.66,5/12/2023
"Canada, Government of...",CAD,4.5000%,4.01%,Aaa,11/1/2025,100.83,100.84,CA135087Q806,99.67,8/4/2023
"Canada, Government of...",CAD,4.5000%,3.88%,Aaa,2/1/2026,101.21,101.33,CA135087R226,99.79,11/1/2023
"Canada, Government of...",CAD,9.0000%,4.24%,Aaa,6/1/2025,106.29,106.41,CA135087VH40,98.21,8/2/1994
"Canada, Government of...",CAD,3.5000%,3.37%,Aaa,3/1/2028,100.46,100.53,CA135087P576,99.35,10/21/2022
"Canada, Government of...",CAD,3.2500%,3.32%,Aaa,9/1/2028,99.68,99.80,CA135087Q491,100.00,4/21/2023
"Canada, Government of...",CAD,1.5000%,3.25%,Aaa,6/1/2031,88.59,88.73,CA135087M276,98.85,4/26/2021
"Canada, Government of...",CAD,1.2500%,3.54%,Aaa,3/1/2027,93.28,93.30,CA135087M847,99.66,10/15/2021
"Canada, Government of...",CAD,3.2450%,3.47%,,8/24/2027,99.21,99.35,CA135087P733,100.00,12/2/2022
"Canada, Government of...",CAD,2.0000%,3.31%,Aaa,6/1/2028,94.68,94.90,CA135087H235,99.27,8/1/2017
"Canada, Government of...",CAD,2.7500%,3.47%,Aaa,9/1/2027,97.56,97.68,CA135087N837,99.30,5/13/2022
"Canada, Government of...",CAD,3.2500%,3.21%,Aaa,12/1/2033,100.28,100.33,CA135087Q723,97.97,6/26/2023
"Canada, Government of...",CAD,5.7500%,3.22%,Aaa,6/1/2029,112.33,112.45,CA135087WL43,99.81,2/2/1998
"Canada, Government of...",CAD,2.0000%,3.26%,Aaa,6/1/2032,90.80,91.20,CA135087N597,98.29,3/16/2022
"Canada, Government of...",CAD,1.5000%,3.25%,Aaa,12/1/2031,87.94,88.08,CA135087N266,97.91,10/25/2021
"Canada, Government of...",CAD,4.0000%,3.28%,Aaa,3/1/2029,103.34,103.39,CA135087Q988,99.42,10/13/2023
"Canada, Government of...",CAD,0.5000%,3.23%,Aaa,12/1/2030,83.32,83.40,CA135087L443,98.96,10/5/2020
"Canada, Government of...",CAD,2.2500%,3.19%,Aaa,12/1/2029,94.96,95.10,CA135087N670,99.58,3/29/2022
"Canada, Government of...",CAD,8.0000%,3.43%,Aaa,6/1/2027,114.37,114.59,CA135087VW17,97.88,5/1/1996
"Canada, Government of...",CAD,5.7500%,3.24%,Aaa,6/1/2033,119.96,120.11,CA135087XG49,99.86,10/15/2001
"Canada, Government of...",CAD,1.0000%,3.46%,Aaa,6/1/2027,92.23,92.47,CA135087F825,97.99,8/3/2016
"Canada, Government of...",CAD,2.2500%,3.22%,Aaa,6/1/2029,95.22,95.46,CA135087J397,99.95,7/27/2018
"Canada, Government of...",CAD,2.5000%,3.22%,Aaa,12/1/2032,94.44,94.58,CA135087P329,97.96,8/8/2022
